0,lam,alp,N,T
4.870979309082031,0.02,0.01,100,500
4.8813371658325195,0.02,0.01,100,500
4.887768268585205,0.02,0.01,100,500
4.9059882164001465,0.02,0.01,100,500
4.919401168823242,0.02,0.01,100,500
4.924720287322998,0.02,0.01,100,500
4.932961940765381,0.02,0.01,100,500
4.946330547332764,0.02,0.01,100,500
4.956450939178467,0.02,0.01,100,500
4.957665920257568,0.02,0.01,100,500
4.964365005493164,0.02,0.01,100,500
4.972475051879883,0.02,0.01,100,500
4.978765487670898,0.02,0.01,100,500
4.986946105957031,0.02,0.01,100,500
4.997602462768555,0.02,0.01,100,500
5.002023696899414,0.02,0.01,100,500
5.0024638175964355,0.02,0.01,100,500
5.01049280166626,0.02,0.01,100,500
5.013318061828613,0.02,0.01,100,500
5.021390438079834,0.02,0.01,100,500
5.030767440795898,0.02,0.01,100,500
5.042242050170898,0.02,0.01,100,500
5.0526227951049805,0.02,0.01,100,500
5.060846328735352,0.02,0.01,100,500
5.07216739654541,0.02,0.01,100,500
5.081252574920654,0.02,0.01,100,500
5.087936878204346,0.02,0.01,100,500
5.0990777015686035,0.02,0.01,100,500
5.1099042892456055,0.02,0.01,100,500
5.111471176147461,0.02,0.01,100,500
5.124577045440674,0.02,0.01,100,500
5.136630535125732,0.02,0.01,100,500
5.148334503173828,0.02,0.01,100,500
5.154701232910156,0.02,0.01,100,500
5.165478229522705,0.02,0.01,100,500
5.174877643585205,0.02,0.01,100,500
5.183642387390137,0.02,0.01,100,500
5.197457790374756,0.02,0.01,100,500
5.210211753845215,0.02,0.01,100,500
5.214869499206543,0.02,0.01,100,500
5.225690841674805,0.02,0.01,100,500
5.23035192489624,0.02,0.01,100,500
5.244539260864258,0.02,0.01,100,500
5.250476837158203,0.02,0.01,100,500
5.261205673217773,0.02,0.01,100,500
5.273885726928711,0.02,0.01,100,500
5.2842793464660645,0.02,0.01,100,500
5.291767120361328,0.02,0.01,100,500
5.303025722503662,0.02,0.01,100,500
5.313594818115234,0.02,0.01,100,500
5.3266096115112305,0.02,0.01,100,500
5.336208343505859,0.02,0.01,100,500
5.345672130584717,0.02,0.01,100,500
5.354550361633301,0.02,0.01,100,500
5.3587775230407715,0.02,0.01,100,500
5.3660197257995605,0.02,0.01,100,500
5.370260715484619,0.02,0.01,100,500
5.385786056518555,0.02,0.01,100,500
5.392720699310303,0.02,0.01,100,500
5.39818000793457,0.02,0.01,100,500
5.404507160186768,0.02,0.01,100,500
5.4131903648376465,0.02,0.01,100,500
5.428356647491455,0.02,0.01,100,500
5.435944557189941,0.02,0.01,100,500
5.441858768463135,0.02,0.01,100,500
5.451517105102539,0.02,0.01,100,500
5.460209369659424,0.02,0.01,100,500
5.466735363006592,0.02,0.01,100,500
5.479493618011475,0.02,0.01,100,500
5.489238262176514,0.02,0.01,100,500
5.49517297744751,0.02,0.01,100,500
5.503804683685303,0.02,0.01,100,500
5.510512828826904,0.02,0.01,100,500
5.521010875701904,0.02,0.01,100,500
5.527674674987793,0.02,0.01,100,500
5.5396504402160645,0.02,0.01,100,500
5.556049346923828,0.02,0.01,100,500
5.5643839836120605,0.02,0.01,100,500
5.570980072021484,0.02,0.01,100,500
5.579649925231934,0.02,0.01,100,500
5.5921759605407715,0.02,0.01,100,500
5.596621990203857,0.02,0.01,100,500
5.603262424468994,0.02,0.01,100,500
5.6082634925842285,0.02,0.01,100,500
5.613457202911377,0.02,0.01,100,500
5.6191887855529785,0.02,0.01,100,500
5.62514591217041,0.02,0.01,100,500
5.633493423461914,0.02,0.01,100,500
5.644157409667969,0.02,0.01,100,500
5.650113582611084,0.02,0.01,100,500
5.65334415435791,0.02,0.01,100,500
5.661842346191406,0.02,0.01,100,500
5.668430328369141,0.02,0.01,100,500
5.680791854858398,0.02,0.01,100,500
5.695124626159668,0.02,0.01,100,500
5.70435905456543,0.02,0.01,100,500
5.714188575744629,0.02,0.01,100,500
5.726162910461426,0.02,0.01,100,500
5.735519886016846,0.02,0.01,100,500
5.740598201751709,0.02,0.01,100,500
5.754631519317627,0.02,0.01,100,500
5.758913993835449,0.02,0.01,100,500
5.771439552307129,0.02,0.01,100,500
5.775295257568359,0.02,0.01,100,500
5.791106700897217,0.02,0.01,100,500
5.79664421081543,0.02,0.01,100,500
5.802701950073242,0.02,0.01,100,500
5.813136577606201,0.02,0.01,100,500
5.823680877685547,0.02,0.01,100,500
5.831010818481445,0.02,0.01,100,500
5.847689151763916,0.02,0.01,100,500
5.858887672424316,0.02,0.01,100,500
5.872347354888916,0.02,0.01,100,500
5.880080699920654,0.02,0.01,100,500
5.890028476715088,0.02,0.01,100,500
5.896485328674316,0.02,0.01,100,500
5.9037909507751465,0.02,0.01,100,500
5.914373874664307,0.02,0.01,100,500
5.916927814483643,0.02,0.01,100,500
5.925441741943359,0.02,0.01,100,500
5.933994770050049,0.02,0.01,100,500
5.941706657409668,0.02,0.01,100,500
1.9973962306976318,0.02,0.01,500,500
1.999189019203186,0.02,0.01,500,500
1.9988758563995361,0.02,0.01,500,500
2.001422166824341,0.02,0.01,500,500
1.999414086341858,0.02,0.01,500,500
1.9995197057724,0.02,0.01,500,500
1.9993562698364258,0.02,0.01,500,500
2.0001308917999268,0.02,0.01,500,500
2.002553939819336,0.02,0.01,500,500
2.0009703636169434,0.02,0.01,500,500
1.9986697435379028,0.02,0.01,500,500
1.9993759393692017,0.02,0.01,500,500
2.0020499229431152,0.02,0.01,500,500
2.001023292541504,0.02,0.01,500,500
2.004664182662964,0.02,0.01,500,500
